headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
Portuguese,Adrião,Related terms,,Adriano, Adriano,"<li id=""mwEg""> <span class=""Latn"" id=""mwEw"" lang=""pt""><a href=""Adriano.html"" title=""Adriano"">Adriano</a></span></li>"
Portuguese,Adustina,Proper noun,,Adustina ," Adustina (municipality in the state of Bahia, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Adustina"">Adustina</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Bahia, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Advento,Proper noun, m, Advent , (Christianity) Advent (season before Christmas),"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">Christianity</span><span class=""ib-brac"" id=""mwCA"">)</span> <span class=""Latn"" id=""mwCQ"" lang=""en""><a href=""Advent.html"" title=""Advent"">Advent</a></span> <span class=""gloss-brac"" id=""mwCg"">(</span><span class=""gloss-content"">season before Christmas</span><span class=""gloss-brac"" id=""mwCw"">)</span></li>"
Portuguese,Adão,Etymology,,"From Old Portuguese Adam, from Latin Adam, Adamus, from Ancient Greek Ἀδάμ ‎, Ἄδαμος ‎, from Biblical Hebrew אָדָם ‎, from אדמה ‎.","From Old Portuguese Adam, from Latin Adam, Adamus, from Ancient Greek Ἀδάμ ‎(Adám), Ἄδαμος ‎(Ádamos), from Biblical Hebrew אָדָם ‎(adam, “earth, man, soil, light brown”), from אדמה ‎(adamah, “red earth, ground”).","<p id=""mwAQ"">From <span class=""etylcleanup"" id=""mwAg""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Old%20Portuguese%20language"" title=""w:Old Portuguese language"">Old Portuguese</a></span></span> <i class=""Latn mention"" id=""mwBA"" lang=""roa-opt""><a href=""Adam.html"" title=""Adam"">Adam</a></i>, from <span class=""etylcleanup"" id=""mwBQ""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Latin%20language"" title=""w:Latin language"">Latin</a></span></span> <i class=""Latn mention"" id=""mwBw"" lang=""la""><a href=""Adam.html"" title=""Adam"">Adam</a></i>, <i class=""Latn mention"" id=""mwCA"" lang=""la""><a href=""Adamus.html"" title=""Adamus"">Adamus</a></i>, from <span class=""etylcleanup"" id=""mwCQ""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Ancient%20Greek%20language"" title=""w:Ancient Greek language"">Ancient Greek</a></span></span> <i class=""polytonic mention"" id=""mwCw"" lang=""grc""><a href=""%E1%BC%88%CE%B4%CE%AC%CE%BC.html"" title=""Ἀδάμ"">Ἀδάμ</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">Adám</span><span class=""mention-gloss-paren"" id=""mwDA"">)</span>, <i class=""polytonic mention"" id=""mwDQ"" lang=""grc""><a href=""%E1%BC%8C%CE%B4%CE%B1%CE%BC%CE%BF%CF%82.html"" title=""Ἄδαμος"">Ἄδαμος</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">Ádamos</span><span class=""mention-gloss-paren"" id=""mwDg"">)</span>, from <span class=""etylcleanup"" id=""mwDw""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Biblical%20Hebrew"" title=""w:Biblical Hebrew"">Biblical Hebrew</a></span></span> <i class=""Hebr mention"" id=""mwEQ"" lang=""he""><a href=""%D7%90%D7%93%D7%9D.html"" title=""אדם"">אָדָם</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">adam</span><span>, </span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">earth, man, soil, light brown</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"" id=""mwEg"">)</span>, from <i class=""Hebr mention"" id=""mwEw"" lang=""he""><a href=""%D7%90%D7%93%D7%9E%D7%94.html"" title=""אדמה"">אדמה</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">adamah</span><span>, </span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">red earth, ground</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"" id=""mwFA"">)</span>.</p>"
Portuguese,Adão,Pronunciation,," IPA: /ɐ.ˈðɐ̃w̃/,  Hyphenation: A‧dão"," (Portugal) IPA(key): /ɐ.ˈðɐ̃w̃/,  Hyphenation: A‧dão","<li id=""mwFg""> <span class=""ib-brac"" id=""mwFw""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/European%20Portuguese"" title=""w:European Portuguese"">Portugal</a></span></span><span class=""ib-brac"" id=""mwGA""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ɐ.ˈðɐ̃w̃/</span></li>, <li id=""mwGw""> <span id=""mwHA"">Hyphenation: </span><span class=""Latn"" lang=""pt"">A‧dão</span></li>"
Portuguese,Adão,Proper noun, m,"A male given name, equivalent to English Adam"," A male given name, equivalent to English Adam","<li id=""mwIg""> <span class=""use-with-mention"" id=""mwIw"">A male <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Adam.html"" title=""Adam"">Adam</a></span></span></li>"
Portuguese,Adónis,Alternative forms,,Adônis , Adônis (Brazil),"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""pt""><a href=""Ad%C3%B4nis.html"" title=""Adônis"">Adônis</a></span> <span class=""ib-brac"" id=""mwBQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">Brazil</span></span><span class=""ib-brac"" id=""mwBg""><span class=""qualifier-brac"">)</span></span></li>"
Portuguese,Adónis,Proper noun, m (European orthography), Adonis , (Greek mythology) Adonis (young man loved by Aphrodite),"<li id=""mwDQ""> <span class=""ib-brac"" id=""mwDg"">(</span><span class=""ib-content""><a href=""Greek.html"" title=""Greek"">Greek</a> <a href=""mythology.html"" title=""mythology"">mythology</a></span><span class=""ib-brac"" id=""mwDw"">)</span> <span class=""Latn"" id=""mwEA"" lang=""en""><a href=""Adonis.html"" title=""Adonis"">Adonis</a></span> <span class=""gloss-brac"" id=""mwEQ"">(</span><span class=""gloss-content"">young man loved by Aphrodite</span><span class=""gloss-brac"" id=""mwEg"">)</span></li>"
Portuguese,Adónis,Proper noun, m (European orthography),"A male given name, equivalent to English Adonis"," A male given name, equivalent to English Adonis","<li id=""mwEw""> <span class=""use-with-mention"" id=""mwFA"">A male <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Adonis.html"" title=""Adonis"">Adonis</a></span></span></li>"
Portuguese,Adônis,Proper noun, m (Brazilian orthography),Alternative form of Adónis, Alternative form of Adónis,"<li id=""mwCA""> <span class=""form-of-definition"" id=""mwCQ"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Ad%C3%B3nis.html"" title=""Adónis"">Adónis</a></i></span></span></li>"
Portuguese,Aeroniano,Proper noun, m, Aeronian , (geology) Aeronian (a subdivision of the Silurian period),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">geology</span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""Latn"" id=""mwCA"" lang=""en""><a href=""Aeronian.html"" title=""Aeronian"">Aeronian</a></span> <span class=""gloss-brac"" id=""mwCQ"">(</span><span class=""gloss-content"">a subdivision of the Silurian period</span><span class=""gloss-brac"" id=""mwCg"">)</span></li>"
Portuguese,Afeganistão,Alternative forms,,"Afganistão , Afghanistão "," Afganistão (obsolete), Afghanistão (obsolete)","<li id=""mwCA""> <span class=""Latn"" id=""mwCQ"" lang=""pt""><a href=""Afganist%C3%A3o.html"" title=""Afganistão"">Afganistão</a></span> <span class=""ib-brac"" id=""mwCg""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">obsolete</span></span><span class=""ib-brac"" id=""mwCw""><span class=""qualifier-brac"">)</span></span>, <span class=""Latn"" id=""mwDA"" lang=""pt""><a href=""Afghanist%C3%A3o.html"" title=""Afghanistão"">Afghanistão</a></span> <span class=""ib-brac"" id=""mwDQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">obsolete</span></span><span class=""ib-brac"" id=""mwDg""><span class=""qualifier-brac"">)</span></span></li>"
Portuguese,Afeganistão,Pronunciation,, IPA: /ˌa.fe.ˌɡɐ.nis.ˈtɐ̃w̃/, (Brazil) IPA(key): /ˌa.fe.ˌɡɐ.nis.ˈtɐ̃w̃/,"<li id=""mwEA""> <span class=""ib-brac"" id=""mwEQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwEg""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ˌa.fe.ˌɡɐ.nis.ˈtɐ̃w̃/</span></li>"
Portuguese,Afeganistão,Proper noun, m,Afghanistan , Afghanistan (a country in central Asia),"<li id=""mwGQ""> <span class=""Latn"" id=""mwGg"" lang=""en""><a href=""Afghanistan.html"" title=""Afghanistan"">Afghanistan</a></span><span> (a country in central </span><span class=""Latn"" lang=""en""><a href=""Asia.html"" title=""Asia"">Asia</a></span><span>)</span></li>"
Portuguese,Afeganistão,Related terms,,afegão, afegão,"<li id=""mwHQ""> <span class=""Latn"" id=""mwHg"" lang=""pt""><a href=""afeg%C3%A3o.html"" title=""afegão"">afegão</a></span></li>"
Portuguese,Afganistão,Proper noun, m,Obsolete form of Afeganistão., Obsolete form of Afeganistão.,"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg""><i>Obsolete form of</i> <i class=""Latn mention"" lang=""pt""><a href=""Afeganist%C3%A3o.html"" title=""Afeganistão"">Afeganistão</a></i></span><span>.</span></li>"
Portuguese,Afghanistão,Proper noun, m,Obsolete spelling of Afeganistão, Obsolete spelling of Afeganistão,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Obsolete spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Afeganist%C3%A3o.html"" title=""Afeganistão"">Afeganistão</a></i></span></span></li>"
Portuguese,Afonses,Etymology,,From Afonso +‎ -es ‎. Compare Spanish Alfonséz.,From Afonso +‎ -es ‎(“son of”). Compare Spanish Alfonséz.,"<p id=""mwAQ"">From <i class=""Latn mention"" id=""mwAg"" lang=""pt""><a href=""Afonso.html"" title=""Afonso"">Afonso</a></i><span> +</span><span>‎</span><span> </span><i class=""Latn mention"" lang=""pt""><a href=""-es.html"" title=""-es"">-es</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">son of</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"">)</span>. Compare Spanish <i class=""Latn mention"" id=""mwBA"" lang=""es"">Alfonséz</i>.</p>"
Portuguese,Afonses,Proper noun, m f,A  surname​., A  surname​.,"<li id=""mwCQ""> <span class=""use-with-mention"" id=""mwCg"">A  <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
Portuguese,Afonso,Etymology,,"From Old Portuguese Afonso, from Medieval Latin Alphonsus, from Gothic *𐌰𐌸𐌰𐌻𐍃 ‎ + *𐍆𐌿𐌽𐍃 ‎. Compare Spanish Alfonso.","From Old Portuguese Afonso, from Medieval Latin Alphonsus, from Gothic *𐌰𐌸𐌰𐌻𐍃 ‎(*aþals, “noble”) + *𐍆𐌿𐌽𐍃 ‎(*funs, “ready”). Compare Spanish Alfonso.","<p id=""mwAQ"">From <span class=""etylcleanup"" id=""mwAg""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Old%20Portuguese%20language"" title=""w:Old Portuguese language"">Old Portuguese</a></span></span> <i class=""Latn mention"" id=""mwBA"" lang=""roa-opt""><a href="""" title=""Afonso"">Afonso</a></i>, from <span class=""etylcleanup"" id=""mwBQ""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Medieval%20Latin"" title=""w:Medieval Latin"">Medieval Latin</a></span></span> <i class=""Latn mention"" id=""mwBw"" lang=""la""><a href=""Alphonsus.html"" title=""Alphonsus"">Alphonsus</a></i>, from <span class=""etylcleanup"" id=""mwCA""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Gothic%20language"" title=""w:Gothic language"">Gothic</a></span></span> <i class=""Goth mention"" id=""mwCg"" lang=""got"">*𐌰𐌸𐌰𐌻𐍃</i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">*aþals</span><span>, </span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">noble</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"" id=""mwCw"">)</span> + <i class=""Goth mention"" id=""mwDA"" lang=""got"">*𐍆𐌿𐌽𐍃</i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">*funs</span><span>, </span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">ready</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"" id=""mwDQ"">)</span>. Compare Spanish <i class=""Latn mention"" id=""mwDg"" lang=""es""><a href=""Alfonso.html"" title=""Alfonso"">Alfonso</a></i>.</p>"
Portuguese,Afonso,Pronunciation,," IPA: /ɐ.ˈfõ.su/,   IPA: /a.ˈfõ.su/"," (Portugal) IPA(key): /ɐ.ˈfõ.su/,  (Brazil) IPA(key): /a.ˈfõ.su/","<li id=""mwEA""> <span class=""ib-brac"" id=""mwEQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/European%20Portuguese"" title=""w:European Portuguese"">Portugal</a></span></span><span class=""ib-brac"" id=""mwEg""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ɐ.ˈfõ.su/</span></li>, <li id=""mwFQ""> <span class=""ib-brac"" id=""mwFg""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwFw""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/a.ˈfõ.su/</span></li>"
Portuguese,Afonso,Proper noun, m,"A male given name, equivalent to English Alfonso and Alphonse"," A male given name, equivalent to English Alfonso and Alphonse","<li id=""mwHg""> <span class=""use-with-mention"" id=""mwHw"">A male <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Alfonso.html"" title=""Alfonso"">Alfonso</a> and <a href=""Alphonse.html"" title=""Alphonse"">Alphonse</a></span></span></li>"
Portuguese,Afonso,Proper noun, m f,A  surname​., A  surname​.,"<li id=""mwJQ""> <span class=""use-with-mention"" id=""mwJg"">A  <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
Portuguese,Afonso,Derived terms,,Afonses, Afonses,"<li id=""mwKQ""> <span class=""Latn"" id=""mwKg"" lang=""pt""><a href=""Afonses.html"" title=""Afonses"">Afonses</a></span></li>"
Portuguese,Agamenon,Proper noun, m,Alternative form of Agamenão, Alternative form of Agamenão,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Agamen%C3%A3o.html"" title=""Agamenão"">Agamenão</a></i></span></span></li>"
Portuguese,Agamenão,Alternative forms,,"Agamenon, Agamemnon, Agamêmnon"," Agamenon, Agamemnon, Agamêmnon","<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""pt""><a href=""Agamenon.html"" title=""Agamenon"">Agamenon</a></span>, <span class=""Latn"" id=""mwBA"" lang=""pt""><a href=""Agamemnon.html"" title=""Agamemnon"">Agamemnon</a></span>, <span class=""Latn"" id=""mwBQ"" lang=""pt""><a href=""Agam%C3%AAmnon.html"" title=""Agamêmnon"">Agamêmnon</a></span></li>"
Portuguese,Agamenão,Proper noun, m, Agamemnon , (Greek mythology) Agamemnon (king of Mycenae in the Iliad),"<li id=""mwCg""> <span class=""ib-brac"" id=""mwCw"">(</span><span class=""ib-content""><a href=""Greek.html"" title=""Greek"">Greek</a> <a href=""mythology.html"" title=""mythology"">mythology</a></span><span class=""ib-brac"" id=""mwDA"">)</span> <span class=""Latn"" id=""mwDQ"" lang=""en""><a href=""Agamemnon.html"" title=""Agamemnon"">Agamemnon</a></span> <span class=""gloss-brac"" id=""mwDg"">(</span><span class=""gloss-content"">king of Mycenae in the Iliad</span><span class=""gloss-brac"" id=""mwDw"">)</span></li>"
Portuguese,Agamêmnon,Proper noun, m,Alternative form of Agamenão, Alternative form of Agamenão,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Agamen%C3%A3o.html"" title=""Agamenão"">Agamenão</a></i></span></span></li>"
Portuguese,Agarta,Proper noun, f,Alternative form of Agartha, Alternative form of Agartha,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Agartha.html"" title=""Agartha"">Agartha</a></i></span></span></li>"
Portuguese,Agesilau,Proper noun, m, Agesilaus , (Ancient Greece) Agesilaus (king of Sparta),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">Ancient Greece</span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""Latn"" id=""mwCA"" lang=""en""><a href=""Agesilaus.html"" title=""Agesilaus"">Agesilaus</a></span> <span class=""gloss-brac"" id=""mwCQ"">(</span><span class=""gloss-content"">king of Sparta</span><span class=""gloss-brac"" id=""mwCg"">)</span></li>"
Portuguese,Ageu,Etymology,,Borrowing from Latin Aggeus.,Borrowing from Latin Aggeus.,"<p id=""mwAQ"">Borrowing<span> from </span><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Latin%20language"" title=""w:Latin language"">Latin</a></span><span> </span><i class=""Latn mention"" lang=""la"">Aggeus</i>.</p>"
Portuguese,Ageu,Pronunciation,, IPA: /a.ˈʒew/, (Brazil) IPA(key): /a.ˈʒew/,"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwBw""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/a.ˈʒew/</span></li>"
Portuguese,Ageu,Proper noun, m, Haggai , (biblical) Haggai (book of the Old Testament),"<li id=""mwDg""> <span class=""ib-brac"" id=""mwDw"">(</span><span class=""ib-content"">biblical</span><span class=""ib-brac"" id=""mwEA"">)</span> <span class=""Latn"" id=""mwEQ"" lang=""en""><a href=""Haggai.html"" title=""Haggai"">Haggai</a></span> <span class=""gloss-brac"" id=""mwEg"">(</span><span class=""gloss-content"">book of the Old Testament</span><span class=""gloss-brac"" id=""mwEw"">)</span></li>"
Portuguese,Ageu,Proper noun, m, Haggai , (biblical) Haggai (a prophet),"<li id=""mwFA""> <span class=""ib-brac"" id=""mwFQ"">(</span><span class=""ib-content"">biblical</span><span class=""ib-brac"" id=""mwFg"">)</span> <span class=""Latn"" id=""mwFw"" lang=""en""><a href=""Haggai.html"" title=""Haggai"">Haggai</a></span> <span class=""gloss-brac"" id=""mwGA"">(</span><span class=""gloss-content"">a prophet</span><span class=""gloss-brac"" id=""mwGQ"">)</span></li>"
Portuguese,Agostinho,Etymology,,"From Old Portuguese Agostỹo, from Latin Augustīnus.","From Old Portuguese Agostỹo, from Latin Augustīnus.","<p id=""mwAQ"">From <span class=""etyl"" id=""mwAg""><a class=""external"" href=""https://en.wikipedia.org/wiki/Old%20Portuguese%20language"" title=""w:Old Portuguese language"">Old Portuguese</a></span><span> </span><i class=""Latn mention"" lang=""roa-opt"">Agostỹo</i>, from <span class=""etyl"" id=""mwBA""><a class=""external"" href=""https://en.wikipedia.org/wiki/Latin%20language"" title=""w:Latin language"">Latin</a></span><span> </span><i class=""Latn mention"" lang=""la""><a href=""Augustinus.html"" title=""Augustinus"">Augustīnus</a></i>.</p>"
Portuguese,Agostinho,Pronunciation,, IPA: /ˌa.ɡos.ˈt͡ʃi.ɲu/, (Brazil) IPA(key): /ˌa.ɡos.ˈt͡ʃi.ɲu/,"<li id=""mwBw""> <span class=""ib-brac"" id=""mwCA""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwCQ""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ˌa.ɡos.ˈt͡ʃi.ɲu/</span></li>"
Portuguese,Agostinho,Proper noun, m,"A male given name, equivalent to English Augustine"," A male given name, equivalent to English Augustine","<li id=""mwEA""> <span class=""use-with-mention"" id=""mwEQ"">A male <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Augustine.html"" title=""Augustine"">Augustine</a></span></span></li>"
Portuguese,Agostinho,Proper noun, m, Saint Augustine, (Christianity) Saint Augustine,"<li id=""mwEw""> <span class=""ib-brac"" id=""mwFA"">(</span><span class=""ib-content"">Christianity</span><span class=""ib-brac"" id=""mwFQ"">)</span> <a class=""external"" href=""https://en.wikipedia.org/wiki/Saint%20Augustine"" id=""mwFg"" title=""wikipedia:Saint Augustine"">Saint Augustine</a></li>"
Portuguese,Agosto,Noun, m (plural Agostos),Superseded spelling of agosto., Superseded spelling of agosto.,"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">Superseded spelling of <i class=""Latn mention"" lang=""pt""><a href=""agosto.html"" title=""agosto"">agosto</a></i></span><span>.</span></li>"
Portuguese,Agrolândia,Proper noun,,Agrolândia ," Agrolândia (municipality in the state of Santa Catarina, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Agrol%C3%A2ndia.html"" title=""Agrolândia"">Agrolândia</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Santa Catarina, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Agronômica,Proper noun,,Agronômica ," Agronômica (municipality in the state of Santa Catarina, Brazil)","<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""Agron%C3%B4mica.html"" title=""Agronômica"">Agronômica</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Santa Catarina, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Aguanil,Proper noun,,Aguanil ," Aguanil (municipality in the state of Minas Gerais, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Aguanil"">Aguanil</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Minas Gerais, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Aguaí,Proper noun, f,Aguaí ," Aguaí (municipality in the state of São Paulo, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Agua%C3%AD.html"" title=""Aguaí"">Aguaí</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of São Paulo, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Agudo,Proper noun,,Agudo ," Agudo (municipality in the state of Rio Grande do Sul, Brazil)","<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href="""" title=""Agudo"">Agudo</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Rio Grande do Sul, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Agudos,Proper noun, f,Agudos ," Agudos (municipality in the state of São Paulo, Brazil)","<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href="""" title=""Agudos"">Agudos</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of São Paulo, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Agudos do Sul,Etymology,,"Originally Agudo , referring to a steep hill), which then became Agudos and then Agudos do Sul  due to the existence of another municipality with the name Agudos in São Paulo[1].","Originally Agudo (from agudo ‎(“acute; sharp”), referring to a steep hill), which then became Agudos and then Agudos do Sul (Agudos of the South) due to the existence of another municipality with the name Agudos in São Paulo[1].","<p id=""mwAQ"">Originally <i class=""Latn mention"" id=""mwAg"" lang=""pt""><a href=""Agudo.html"" title=""Agudo"">Agudo</a></i> (from <i class=""Latn mention"" id=""mwAw"" lang=""pt""><a href=""agudo.html"" title=""agudo"">agudo</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">acute; sharp</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"" id=""mwBA"">)</span>, referring to a steep hill), which then became <i class=""Latn mention"" id=""mwBQ"" lang=""pt""><a href=""Agudos.html"" title=""Agudos"">Agudos</a></i> and then <i id=""mwBg"">Agudos do Sul</i> (<i id=""mwBw"">Agudos</i> of the South) due to the existence of another municipality with the name <i id=""mwCA"">Agudos</i> in São Paulo<sup id=""cite_ref-1""><a href=""#cite_note-1"" style=""counter-reset: mw-Ref 1;""><span class=""mw-reflink-text"">[1]</span></a></sup>.</p>"
Portuguese,Agudos do Sul,Proper noun,,Agudos do Sul ," Agudos do Sul (a town and municipality in Paraná, Brazil)","<li id=""mwDQ""> <span class=""Latn"" id=""mwDg"" lang=""en""><a href="""" title=""Agudos do Sul"">Agudos do Sul</a></span><span> (a town and municipality in </span><span class=""Latn"" lang=""en""><a href=""Paran%C3%A1.html"" title=""Paraná"">Paraná</a></span><span>, </span><span class=""Latn"" lang=""en""><a href=""Brazil.html"" title=""Brazil"">Brazil</a></span><span>)</span></li>"
Portuguese,Agudos do Sul,References,,"↑  2006, João Carlos Vicente Ferreira, Municípios paranaenses: origens e significados de seus nomes.","↑  2006, João Carlos Vicente Ferreira, Municípios paranaenses: origens e significados de seus nomes.","<li id=""cite_note-1""><a href=""#cite_ref-1""><span class=""mw-linkback-text"">↑ </span></a> <span class=""mw-reference-text"" id=""mw-reference-text-cite_note-1""><b id=""mwEQ"">2006</b><span id=""mwEg"">, João Carlos Vicente Ferreira, </span><i id=""mwEw"">Municípios paranaenses: origens e significados de seus nomes</i><span id=""mwFA"">.</span></span></li>"
